rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,timestamp,uElev,uThrot,uThrot2,uAilL,uAilR,uRud,obctrl_status
1478608969095406866,,0,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969145582564,,1,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969195347336,,2,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969245508246,,3,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969295484325,,4,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969345404940,,5,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969395734419,,6,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969445271346,,7,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969495263400,,8,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969545227317,,9,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969595199608,,10,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969645157349,,11,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969695423000,,12,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969745268413,,13,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969795608066,,14,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969845537994,,15,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969895722730,,16,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969945627844,,17,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608969995714490,,18,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970045545164,,19,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970095619746,,20,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970145419432,,21,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970195552517,,22,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970245589773,,23,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970295692306,,24,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970345644310,,25,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970395675941,,26,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970445694621,,27,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970495638187,,28,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970545538013,,29,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970595664885,,30,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970645716229,,31,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970695763823,,32,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970745219697,,33,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970795635091,,34,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970845393563,,35,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970895535123,,36,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970945296070,,37,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608970995488006,,38,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971045150600,,39,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971095420864,,40,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971145252613,,41,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971195297620,,42,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971245330501,,43,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971295593827,,44,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971345633446,,45,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971395782655,,46,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971445540077,,47,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971495731576,,48,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971545632340,,49,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971595732836,,50,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971645197423,,51,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971695403723,,52,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971745335500,,53,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971795698642,,54,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971845206931,,55,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971895881483,,56,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971945400035,,57,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608971995428903,,58,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972045291616,,59,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972095665558,,60,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972145453281,,61,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972195682569,,62,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972245352550,,63,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972295721230,,64,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972345737423,,65,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972395706214,,66,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972445461199,,67,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972495692861,,68,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972545465159,,69,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972595722822,,70,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972645305551,,71,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972695558502,,72,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972745397901,,73,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972795671403,,74,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972845233181,,75,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972895649462,,76,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972945362757,,77,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608972995431002,,78,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973045170986,,79,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973095676508,,80,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973145591672,,81,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973195657379,,82,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973245355287,,83,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973295684753,,84,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973345577416,,85,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973395705501,,86,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973445615128,,87,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973495732711,,88,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973545632126,,89,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973595595979,,90,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973645749252,,91,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973695407308,,92,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973745727986,,93,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973795666801,,94,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973845497313,,95,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973895647948,,96,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973945202101,,97,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608973995557193,,98,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974045280551,,99,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974095665981,,100,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974145640848,,101,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974195763269,,102,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974245496728,,103,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974295824506,,104,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974345642592,,105,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974395703137,,106,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
1478608974445658440,,107,,0,0,'',0,0.0,0.0,0.0,0.0,0.0,0.0,0
